date,Ta_Avg（℃）,RH-Avg（%）,TC_10cm℃,TC_20cm℃,TC_30cm℃,OT1,OT,OT3,EC_10cmds/m,EC_20cmds/m,EC_30cmds/m
2021-05-13 06:00:00,16.27,87.1,19.36,20.29,20.1,12.75,21.93,33.68,0.054,0.22,0.568
2021-05-13 06:30:00,17.1,84.6,19.2,20.18,20.05,12.44,22.03,33.66,0.053,0.218,0.565
2021-05-13 07:00:00,18.73,81.5,19.07,20.07,19.99,12.61,21.85,33.4,0.053,0.218,0.568
2021-05-13 07:30:00,19.91,80.1,18.99,19.96,19.91,12.67,21.91,33.59,0.054,0.216,0.566
2021-05-13 08:00:00,21.2,77.29,19.01,19.83,19.85,12.51,22.12,33.64,0.052,0.215,0.564
2021-05-13 08:30:00,22.36,75.34,19.15,19.77,19.77,12.62,21.93,33.44,0.052,0.216,0.566
2021-05-13 09:00:00,23.53,72.25,19.31,19.69,19.72,12.13,22.06,33.69,0.052,0.216,0.566
2021-05-13 09:30:00,24.53,69.13,19.58,19.66,19.66,12.36,21.81,33.63,0.052,0.215,0.565
2021-05-13 10:00:00,24.99,66.41,19.94,19.63,19.61,12.15,21.94,33.57,0.052,0.213,0.567
2021-05-13 10:30:00,25.98,62.85,20.4,19.66,19.55,12.07,21.49,33.78,0.051,0.21,0.563
2021-05-13 11:00:00,25.92,62.84,21.05,19.72,19.53,12.29,21.94,33.68,0.053,0.213,0.562
2021-05-13 11:30:00,26.61,60.71,21.76,19.83,19.5,12.26,21.71,33.4,0.052,0.21,0.561
2021-05-13 12:00:00,26.25,60.52,22.55,19.96,19.5,11.98,21.76,33.67,0.05,0.208,0.561
2021-05-13 12:30:00,27.11,57.71,23.24,20.16,19.47,12.01,21.52,33.27,0.052,0.209,0.56
2021-05-13 13:00:00,27.6,56.15,23.84,20.38,19.5,12.0,21.74,33.24,0.05,0.205,0.557
2021-05-13 13:30:00,28.32,54.18,24.62,20.63,19.53,11.7,21.21,33.15,0.052,0.204,0.558
2021-05-13 14:00:00,28.77,51.83,25.51,20.88,19.58,11.82,21.19,33.39,0.05,0.2,0.558
2021-05-13 14:30:00,28.8,51.21,26.39,21.19,19.63,11.89,20.99,33.49,0.05,0.2,0.555
2021-05-13 15:00:00,28.47,52.84,27.19,21.51,19.69,11.73,21.11,33.22,0.049,0.197,0.553
2021-05-13 15:30:00,27.97,53.44,27.67,21.85,19.77,11.65,20.99,33.05,0.049,0.195,0.554
2021-05-13 16:00:00,28.32,52.0,27.84,22.17,19.88,11.66,21.07,33.11,0.047,0.195,0.554
2021-05-13 16:30:00,28.05,51.86,27.84,22.46,19.99,11.5,20.81,33.13,0.046,0.192,0.553
2021-05-13 17:00:00,27.92,53.85,27.7,22.7,20.13,11.52,20.79,33.21,0.048,0.193,0.552
2021-05-13 17:30:00,27.36,56.61,27.53,22.88,20.24,11.48,20.94,33.28,0.046,0.191,0.555
2021-05-13 18:00:00,27.08,58.02,27.29,23.03,20.35,11.38,20.8,33.15,0.046,0.191,0.552
2021-05-13 18:30:00,26.31,59.98,27.02,23.12,20.46,11.47,20.83,33.01,0.046,0.191,0.553
2021-05-13 19:00:00,25.76,63.33,26.69,23.18,20.57,11.42,20.89,33.3,0.046,0.19,0.552
2021-05-13 19:30:00,25.16,65.72,26.32,23.21,20.68,11.28,20.7,32.98,0.045,0.19,0.551
2021-05-13 20:00:00,24.32,68.82,25.93,23.21,20.77,11.52,20.5,32.89,0.044,0.19,0.551
2021-05-13 20:30:00,23.29,72.46,25.51,23.18,20.82,11.58,20.63,33.14,0.044,0.192,0.552
2021-05-13 21:00:00,23.15,75.0,25.06,23.15,20.91,12.0,20.62,33.08,0.044,0.191,0.555
2021-05-13 21:30:00,22.72,78.25,24.62,23.06,20.94,12.21,20.9,32.96,0.043,0.191,0.554
2021-05-13 22:00:00,22.09,80.9,24.25,22.97,20.99,11.9,20.64,32.96,0.042,0.189,0.553
2021-05-13 22:30:00,21.49,83.6,23.84,22.85,21.02,11.99,20.55,32.86,0.043,0.19,0.553
2021-05-13 23:00:00,21.15,85.5,23.51,22.73,21.02,12.24,20.59,33.04,0.044,0.189,0.556
2021-05-13 23:30:00,20.98,85.7,23.21,22.61,21.02,11.98,20.53,32.73,0.043,0.189,0.552
2021-05-14 00:00:00,19.32,88.8,22.88,22.46,21.02,12.27,20.64,32.87,0.044,0.188,0.554
2021-05-14 00:30:00,18.94,91.9,22.58,22.35,21.02,12.23,20.6,32.84,0.043,0.188,0.554
2021-05-14 01:00:00,18.63,92.0,22.32,22.2,20.99,11.94,20.54,33.29,0.042,0.187,0.553
2021-05-14 01:30:00,18.55,92.6,22.05,22.05,20.96,11.85,20.56,33.12,0.043,0.188,0.553
2021-05-14 02:00:00,18.74,94.3,21.82,21.94,20.94,11.82,20.59,33.24,0.044,0.188,0.552
2021-05-14 02:30:00,18.96,94.5,21.65,21.82,20.91,11.9,20.81,33.08,0.042,0.188,0.551
2021-05-14 03:00:00,18.97,94.4,21.48,21.68,20.85,11.68,20.52,32.83,0.042,0.189,0.554
2021-05-14 03:30:00,19.09,94.4,21.31,21.56,20.82,11.53,20.38,33.18,0.043,0.187,0.551
2021-05-14 04:00:00,19.54,93.8,21.19,21.45,20.77,11.44,20.5,32.89,0.042,0.187,0.552
2021-05-14 04:30:00,19.99,92.4,21.08,21.33,20.74,11.39,20.64,32.74,0.043,0.185,0.553
2021-05-14 05:00:00,19.81,92.2,20.99,21.25,20.68,11.44,20.62,33.0,0.042,0.184,0.549
2021-05-14 05:30:00,19.86,93.2,20.94,21.16,20.66,11.13,20.82,33.06,0.043,0.185,0.551
2021-05-14 06:00:00,20.06,93.5,20.88,21.08,20.6,11.33,20.43,33.06,0.043,0.186,0.549
2021-05-14 06:30:00,20.55,92.9,20.8,20.99,20.54,11.25,20.52,32.95,0.043,0.184,0.551
2021-05-14 07:00:00,21.22,90.9,20.77,20.91,20.49,11.48,20.66,32.71,0.044,0.184,0.551
2021-05-14 07:30:00,21.87,87.4,20.8,20.85,20.46,11.36,20.57,32.88,0.043,0.185,0.55
2021-05-14 08:00:00,22.0,85.3,20.85,20.8,20.4,10.96,20.37,32.91,0.043,0.184,0.549
2021-05-14 08:30:00,22.48,83.1,20.99,20.77,20.38,10.76,20.48,32.82,0.043,0.184,0.552
2021-05-14 09:00:00,22.86,80.7,21.13,20.74,20.32,10.97,20.57,32.81,0.044,0.184,0.549
2021-05-14 09:30:00,23.4,78.16,21.39,20.71,20.29,10.87,20.61,32.89,0.043,0.183,0.55
2021-05-14 10:00:00,23.83,76.5,21.65,20.74,20.27,10.78,20.49,33.04,0.042,0.181,0.549
2021-05-14 10:30:00,24.07,75.55,22.02,20.77,20.24,10.75,20.48,33.03,0.043,0.183,0.547
2021-05-14 11:00:00,24.64,72.51,22.4,20.82,20.21,10.74,20.3,32.31,0.043,0.181,0.548
2021-05-14 11:30:00,24.38,72.34,22.82,20.91,20.21,10.92,20.49,32.72,0.044,0.179,0.546
2021-05-14 12:00:00,25.05,71.1,23.24,21.02,20.21,10.82,20.48,32.97,0.044,0.181,0.547
2021-05-14 12:30:00,25.45,69.24,23.57,21.13,20.21,10.9,20.43,32.74,0.043,0.18,0.545
2021-05-14 13:00:00,25.76,67.99,23.91,21.25,20.21,10.88,20.24,32.7,0.042,0.179,0.546
2021-05-14 13:30:00,25.45,69.65,24.34,21.39,20.24,10.72,20.13,32.72,0.044,0.178,0.544
2021-05-14 14:00:00,26.01,68.55,24.65,21.53,20.27,10.79,20.06,32.78,0.043,0.176,0.544
2021-05-14 14:30:00,26.87,65.28,24.87,21.68,20.29,10.71,20.2,32.8,0.043,0.176,0.542
2021-05-14 15:00:00,27.57,62.64,25.16,21.85,20.35,10.72,20.08,32.75,0.044,0.176,0.543
2021-05-14 15:30:00,26.44,66.93,25.73,22.0,20.4,10.51,19.69,32.71,0.041,0.175,0.543
2021-05-14 16:00:00,26.19,66.34,26.36,22.17,20.46,10.53,19.85,32.72,0.043,0.172,0.544
2021-05-14 16:30:00,25.87,68.15,26.49,22.38,20.52,10.6,20.12,32.82,0.043,0.173,0.544
2021-05-14 17:00:00,25.77,68.61,26.39,22.55,20.57,10.67,19.84,32.7,0.043,0.171,0.544
2021-05-14 17:30:00,25.58,70.9,26.26,22.67,20.66,10.23,20.0,32.75,0.043,0.171,0.542
2021-05-14 18:00:00,24.99,71.46,26.09,22.79,20.71,10.54,19.8,32.61,0.041,0.172,0.544
2021-05-14 18:30:00,24.51,73.58,25.9,22.88,20.8,10.52,19.65,32.55,0.041,0.169,0.544
2021-05-14 19:00:00,24.0,76.24,25.64,22.91,20.85,10.51,20.02,32.79,0.041,0.168,0.545
2021-05-14 19:30:00,23.5,78.6,25.35,22.94,20.94,10.87,19.98,32.48,0.041,0.171,0.544
2021-05-14 20:00:00,23.02,80.6,25.03,22.94,20.99,11.22,19.85,32.76,0.042,0.169,0.544
2021-05-14 20:30:00,22.83,80.7,24.71,22.91,21.05,11.48,19.92,32.47,0.041,0.17,0.544
2021-05-14 21:00:00,22.49,82.4,24.4,22.85,21.08,11.63,19.8,32.61,0.04,0.169,0.544
2021-05-14 21:30:00,22.57,81.6,24.12,22.79,21.11,11.77,19.84,32.65,0.041,0.169,0.546
2021-05-14 22:00:00,21.92,84.3,23.84,22.73,21.13,11.93,19.83,32.72,0.04,0.171,0.543
2021-05-14 22:30:00,21.88,84.3,23.6,22.64,21.13,11.66,19.94,32.83,0.038,0.17,0.544
2021-05-14 23:00:00,21.36,86.2,23.33,22.55,21.13,11.88,19.63,32.59,0.039,0.168,0.546
2021-05-14 23:30:00,21.34,86.5,23.09,22.46,21.13,11.86,19.73,32.51,0.04,0.169,0.546
2021-05-15 00:00:00,21.2,86.8,22.88,22.38,21.13,11.65,20.06,32.78,0.04,0.167,0.547
2021-05-15 00:30:00,20.75,88.2,22.67,22.29,21.13,11.84,20.0,32.58,0.04,0.167,0.544
2021-05-15 01:00:00,20.62,89.4,22.49,22.17,21.11,11.62,19.76,32.69,0.039,0.167,0.544
2021-05-15 01:30:00,20.53,89.8,22.32,22.08,21.08,11.78,19.67,32.86,0.039,0.168,0.545
2021-05-15 02:00:00,19.57,91.3,22.08,21.97,21.05,11.48,19.57,32.75,0.039,0.166,0.543
2021-05-15 02:30:00,19.28,93.7,21.91,21.88,21.05,11.51,19.83,32.78,0.038,0.166,0.545
2021-05-15 03:00:00,18.95,94.7,21.71,21.79,20.99,11.43,19.63,32.61,0.038,0.165,0.544
2021-05-15 03:30:00,19.31,95.8,21.51,21.68,20.96,11.23,19.73,32.8,0.039,0.166,0.544
2021-05-15 04:00:00,19.75,94.7,21.33,21.59,20.94,11.21,19.95,32.5,0.038,0.166,0.542
2021-05-15 04:30:00,19.38,93.7,21.22,21.48,20.91,11.35,19.73,32.65,0.038,0.165,0.543
2021-05-15 05:00:00,19.1,94.9,21.13,21.39,20.85,11.27,19.78,32.44,0.038,0.165,0.543
2021-05-15 05:30:00,19.31,95.8,21.02,21.31,20.8,11.45,19.65,32.54,0.038,0.164,0.543
2021-05-15 06:00:00,19.82,95.1,20.94,21.22,20.77,10.97,19.76,32.59,0.039,0.164,0.543
2021-05-15 06:30:00,20.31,93.7,20.85,21.13,20.71,11.17,19.81,32.73,0.037,0.164,0.544
2021-05-15 07:00:00,21.0,91.4,20.82,21.08,20.68,10.92,19.71,32.85,0.039,0.163,0.542
2021-05-15 07:30:00,21.8,88.9,20.85,20.99,20.63,10.98,19.78,32.65,0.038,0.164,0.543
2021-05-15 08:00:00,21.84,89.3,20.94,20.94,20.6,10.69,19.74,32.69,0.039,0.164,0.542
2021-05-15 08:30:00,22.4,87.3,21.08,20.91,20.57,10.17,19.61,32.67,0.039,0.164,0.542
2021-05-15 09:00:00,22.76,85.6,21.19,20.85,20.52,10.26,19.63,32.71,0.038,0.163,0.542
2021-05-15 09:30:00,23.12,84.7,21.36,20.85,20.49,10.16,19.86,32.57,0.038,0.164,0.542
2021-05-15 10:00:00,23.5,83.7,21.53,20.85,20.46,10.33,19.61,32.6,0.038,0.163,0.54
2021-05-15 10:30:00,23.22,85.1,21.74,20.88,20.43,10.05,19.73,32.53,0.04,0.161,0.54
2021-05-15 11:00:00,23.81,82.0,21.94,20.91,20.4,10.37,19.84,32.54,0.037,0.162,0.54
2021-05-15 11:30:00,24.12,79.56,22.05,20.94,20.38,10.24,19.72,32.49,0.041,0.161,0.542
2021-05-15 12:00:00,23.64,84.9,22.2,20.99,20.38,10.14,19.73,32.33,0.038,0.161,0.543
2021-05-15 12:30:00,22.95,86.5,22.38,21.02,20.38,10.15,19.66,32.35,0.04,0.16,0.54
2021-05-15 13:00:00,22.69,91.5,22.43,21.08,20.38,10.14,19.59,32.36,0.038,0.161,0.539
2021-05-15 13:30:00,22.06,93.3,22.46,21.13,20.35,10.31,19.48,32.84,0.04,0.16,0.542
2021-05-15 14:00:00,21.21,96.0,22.52,21.16,20.38,10.27,19.38,32.75,0.038,0.162,0.539
2021-05-15 14:30:00,21.06,95.7,22.52,21.22,20.38,10.23,19.65,32.53,0.039,0.16,0.538
2021-05-15 15:00:00,21.33,89.7,22.4,21.25,20.38,10.45,19.52,32.48,0.038,0.162,0.543
2021-05-15 15:30:00,21.23,86.3,22.32,21.25,20.38,10.37,19.63,32.68,0.04,0.163,0.541
2021-05-15 16:00:00,20.87,85.6,22.26,21.25,20.4,10.34,19.7,32.57,0.041,0.161,0.543
2021-05-15 16:30:00,19.58,90.0,22.17,21.25,20.4,10.69,19.87,32.53,0.039,0.162,0.541
2021-05-15 17:00:00,18.62,93.7,22.05,21.25,20.4,11.02,19.7,32.59,0.038,0.161,0.541
2021-05-15 17:30:00,17.46,95.0,21.91,21.25,20.43,11.1,19.84,32.68,0.039,0.162,0.543
2021-05-15 18:00:00,15.96,95.8,21.74,21.22,20.43,11.06,19.7,32.9,0.039,0.162,0.539
2021-05-15 18:30:00,15.1,96.3,21.53,21.16,20.43,11.01,19.72,32.39,0.038,0.16,0.542
2021-05-15 19:00:00,14.38,96.2,21.28,21.13,20.43,11.33,19.89,32.42,0.04,0.164,0.541
2021-05-15 19:30:00,13.54,96.4,21.02,21.05,20.4,11.34,19.79,32.5,0.037,0.162,0.542
2021-05-15 20:00:00,12.93,96.6,20.74,20.99,20.4,11.48,19.71,32.78,0.038,0.161,0.54
2021-05-15 20:30:00,12.91,97.2,20.46,20.88,20.38,11.45,19.7,32.4,0.037,0.163,0.542
2021-05-15 21:00:00,13.06,97.6,20.18,20.8,20.35,11.24,19.7,32.58,0.039,0.163,0.542
2021-05-15 21:30:00,13.37,98.1,19.91,20.68,20.32,11.2,19.62,32.8,0.036,0.16,0.541
2021-05-15 22:00:00,13.54,98.3,19.66,20.57,20.29,10.85,19.35,32.6,0.038,0.161,0.541
2021-05-15 22:30:00,13.51,98.2,19.47,20.43,20.27,10.72,19.83,32.57,0.037,0.162,0.541
2021-05-15 23:00:00,13.29,98.1,19.28,20.32,20.24,10.94,19.59,32.65,0.038,0.162,0.539
2021-05-15 23:30:00,13.0,98.1,19.07,20.21,20.18,10.85,19.74,32.47,0.037,0.162,0.54
2021-05-16 00:00:00,12.82,98.1,18.88,20.1,20.13,10.88,19.47,32.92,0.036,0.162,0.541
2021-05-16 00:30:00,12.34,97.8,18.69,19.96,20.07,10.71,19.55,32.85,0.037,0.16,0.541
2021-05-16 01:00:00,11.96,97.3,18.48,19.85,20.02,10.59,19.91,32.74,0.036,0.16,0.541
2021-05-16 01:30:00,11.98,97.5,18.32,19.74,19.96,10.51,19.67,32.32,0.038,0.162,0.54
2021-05-16 02:00:00,12.16,98.0,18.14,19.61,19.91,10.75,19.65,32.57,0.038,0.161,0.538
2021-05-16 02:30:00,12.31,97.2,17.98,19.5,19.85,10.86,19.7,32.58,0.039,0.161,0.541
2021-05-16 03:00:00,12.5,94.5,17.85,19.39,19.77,11.05,19.83,32.64,0.04,0.161,0.539
2021-05-16 03:30:00,12.63,93.2,17.72,19.28,19.72,10.97,19.83,32.52,0.04,0.161,0.54
2021-05-16 04:00:00,12.62,93.1,17.62,19.17,19.66,10.91,19.89,32.69,0.04,0.16,0.539
2021-05-16 04:30:00,12.59,93.2,17.54,19.07,19.61,10.93,19.82,32.75,0.041,0.16,0.538
2021-05-16 05:00:00,12.6,91.5,17.46,18.99,19.53,10.99,19.67,32.74,0.043,0.159,0.539
2021-05-16 05:30:00,12.57,89.8,17.36,18.88,19.47,10.96,19.75,32.58,0.044,0.159,0.538
2021-05-16 06:00:00,12.33,90.0,17.28,18.8,19.39,11.04,19.86,32.42,0.046,0.159,0.538
2021-05-16 06:30:00,12.19,89.2,17.23,18.72,19.34,11.21,19.79,32.57,0.045,0.158,0.538
2021-05-16 07:00:00,11.92,90.2,17.16,18.64,19.28,11.11,19.52,32.63,0.046,0.159,0.536
2021-05-16 07:30:00,11.64,93.8,17.08,18.56,19.23,11.08,19.6,32.73,0.045,0.157,0.536
2021-05-16 08:00:00,11.8,95.4,17.03,18.48,19.15,11.47,19.66,32.56,0.047,0.158,0.54
2021-05-16 08:30:00,12.8,96.3,16.95,18.4,19.09,11.3,19.68,32.43,0.049,0.157,0.537
2021-05-16 09:00:00,13.8,96.0,16.95,18.35,19.04,11.36,19.55,32.72,0.052,0.158,0.537
2021-05-16 09:30:00,14.77,92.5,17.05,18.27,18.99,11.52,19.8,32.8,0.054,0.159,0.538
2021-05-16 10:00:00,14.52,90.1,17.26,18.24,18.93,11.45,19.64,32.86,0.055,0.158,0.538
2021-05-16 10:30:00,14.4,91.3,17.52,18.22,18.88,11.41,19.56,32.53,0.058,0.157,0.536
2021-05-16 11:00:00,15.2,89.4,17.72,18.19,18.83,11.66,19.48,32.52,0.059,0.158,0.537
2021-05-16 11:30:00,16.62,81.0,17.9,18.22,18.77,11.94,19.62,32.49,0.062,0.158,0.535
2021-05-16 12:00:00,18.11,72.74,18.17,18.24,18.75,11.66,19.68,32.77,0.065,0.159,0.535
2021-05-16 12:30:00,18.84,66.47,18.61,18.27,18.72,11.82,19.62,32.64,0.067,0.158,0.535
2021-05-16 13:00:00,19.76,62.28,19.23,18.38,18.69,12.01,19.64,32.71,0.068,0.158,0.535
2021-05-16 13:30:00,19.59,61.97,19.96,18.48,18.67,11.85,19.4,32.65,0.07,0.157,0.535
2021-05-16 14:00:00,19.75,62.55,20.63,18.64,18.67,12.3,19.61,32.59,0.071,0.157,0.532
2021-05-16 14:30:00,20.1,58.52,21.08,18.85,18.67,12.16,19.6,32.52,0.072,0.156,0.533
2021-05-16 15:00:00,20.43,58.33,21.45,19.04,18.69,12.43,19.71,32.79,0.071,0.156,0.533
2021-05-16 15:30:00,20.88,56.72,21.76,19.23,18.72,12.13,19.44,32.59,0.071,0.158,0.532
2021-05-16 16:00:00,20.54,56.8,22.05,19.44,18.77,12.23,19.63,32.63,0.071,0.157,0.535
2021-05-16 16:30:00,20.45,56.43,22.32,19.61,18.8,12.37,19.65,32.53,0.071,0.157,0.533
2021-05-16 17:00:00,19.72,60.54,22.43,19.8,18.85,12.12,19.96,32.56,0.069,0.157,0.532
2021-05-16 17:30:00,19.49,61.43,22.43,19.94,18.93,12.34,19.54,32.66,0.07,0.156,0.533
2021-05-16 18:00:00,19.05,64.37,22.26,20.07,18.99,12.78,19.6,32.49,0.07,0.158,0.533
2021-05-16 18:30:00,18.65,64.8,22.02,20.16,19.07,12.69,19.59,32.63,0.07,0.157,0.535
2021-05-16 19:00:00,18.16,67.93,21.74,20.24,19.12,12.94,19.48,32.72,0.07,0.157,0.534
2021-05-16 19:30:00,17.7,69.45,21.48,20.24,19.17,13.43,19.66,32.64,0.07,0.156,0.534
2021-05-16 20:00:00,16.96,76.35,21.16,20.24,19.23,13.65,19.78,32.29,0.071,0.158,0.536
2021-05-16 20:30:00,16.62,77.85,20.82,20.21,19.26,13.65,19.69,32.75,0.069,0.157,0.535
2021-05-16 21:00:00,16.18,78.35,20.52,20.16,19.28,13.72,19.72,32.44,0.07,0.158,0.535
2021-05-16 21:30:00,15.78,80.1,20.21,20.1,19.31,13.59,19.59,32.54,0.069,0.159,0.535
2021-05-16 22:00:00,15.88,75.81,19.91,20.02,19.34,13.6,19.68,32.43,0.069,0.159,0.535
2021-05-16 22:30:00,15.36,77.49,19.61,19.91,19.34,13.71,19.54,32.68,0.071,0.158,0.535
2021-05-16 23:00:00,15.35,74.95,19.34,19.8,19.34,13.41,19.82,32.6,0.071,0.159,0.533
2021-05-16 23:30:00,14.9,74.71,19.07,19.69,19.31,13.48,19.71,32.5,0.07,0.159,0.534
2021-05-17 00:00:00,14.46,74.51,18.77,19.58,19.31,13.25,19.58,32.43,0.071,0.158,0.533
2021-05-17 00:30:00,14.46,73.45,18.48,19.47,19.28,13.24,19.7,32.5,0.07,0.157,0.534
2021-05-17 01:00:00,14.11,74.11,18.19,19.34,19.26,13.19,19.71,32.72,0.07,0.157,0.535
2021-05-17 01:30:00,14.15,73.25,17.9,19.2,19.2,12.75,19.66,32.6,0.071,0.157,0.534
2021-05-17 02:00:00,14.43,71.7,17.64,19.07,19.17,12.77,19.55,32.67,0.069,0.158,0.533
2021-05-17 02:30:00,14.59,72.86,17.39,18.93,19.12,12.96,19.64,32.65,0.071,0.156,0.534
2021-05-17 03:00:00,14.4,74.42,17.16,18.8,19.07,12.83,19.53,32.3,0.069,0.156,0.534
2021-05-17 03:30:00,13.59,78.15,16.93,18.64,19.01,12.8,19.44,32.59,0.069,0.157,0.536
2021-05-17 04:00:00,12.55,82.9,16.72,18.51,18.96,12.86,19.55,32.48,0.069,0.154,0.534
2021-05-17 04:30:00,10.69,85.1,16.55,18.38,18.91,12.69,19.76,32.6,0.069,0.156,0.532
2021-05-17 05:00:00,10.85,92.1,16.35,18.24,18.83,12.86,19.6,32.63,0.07,0.155,0.533
2021-05-17 05:30:00,11.96,86.4,16.15,18.11,18.77,12.61,19.69,32.58,0.069,0.154,0.532
2021-05-17 06:00:00,10.47,90.0,15.92,17.98,18.69,12.71,19.64,32.53,0.068,0.153,0.533
2021-05-17 06:30:00,14.71,76.39,15.75,17.85,18.64,12.61,19.54,32.56,0.069,0.154,0.532
2021-05-17 07:00:00,16.44,68.9,15.6,17.72,18.56,12.76,19.88,32.59,0.067,0.155,0.533
2021-05-17 07:30:00,17.52,66.51,15.5,17.59,18.48,12.65,19.55,32.4,0.069,0.153,0.533
2021-05-17 08:00:00,18.55,65.1,15.5,17.46,18.4,12.64,19.74,32.53,0.07,0.152,0.532
2021-05-17 08:30:00,20.47,59.48,15.53,17.36,18.35,12.76,19.58,32.6,0.069,0.151,0.531
2021-05-17 09:00:00,21.44,57.89,15.6,17.28,18.27,12.74,19.91,32.36,0.068,0.151,0.531
2021-05-17 09:30:00,22.05,53.97,15.73,17.23,18.19,12.58,19.61,32.84,0.067,0.151,0.531
2021-05-17 10:00:00,22.67,50.4,16.0,17.16,18.14,12.64,19.46,32.7,0.07,0.151,0.529
2021-05-17 10:30:00,23.94,47.87,16.45,17.16,18.06,12.42,19.84,32.54,0.066,0.149,0.529
2021-05-17 11:00:00,25.0,44.14,17.13,17.18,18.01,12.28,19.53,32.19,0.068,0.149,0.526
2021-05-17 11:30:00,25.75,42.43,18.09,17.26,17.98,12.59,19.68,32.35,0.069,0.149,0.527
2021-05-17 12:00:00,25.85,40.6,19.31,17.44,17.93,12.45,19.55,32.71,0.069,0.15,0.525
2021-05-17 12:30:00,26.72,37.77,20.57,17.7,17.93,12.5,19.28,32.7,0.07,0.148,0.527
2021-05-17 13:00:00,27.45,35.33,21.59,18.01,17.93,12.35,19.56,32.39,0.068,0.148,0.527
2021-05-17 13:30:00,27.65,34.85,22.61,18.38,17.96,12.29,19.24,32.31,0.069,0.147,0.525
2021-05-17 14:00:00,27.7,33.07,23.75,18.75,18.01,12.46,19.29,32.26,0.069,0.145,0.522
2021-05-17 14:30:00,27.96,32.34,24.78,19.17,18.09,12.47,19.38,32.39,0.069,0.147,0.523
2021-05-17 15:00:00,28.28,33.83,25.48,19.61,18.17,12.5,19.6,32.3,0.067,0.145,0.524
2021-05-17 15:30:00,28.1,35.32,26.12,20.02,18.3,12.23,19.1,32.16,0.066,0.147,0.521
2021-05-17 16:00:00,28.0,33.09,26.62,20.43,18.43,12.11,19.18,32.53,0.062,0.148,0.523
2021-05-17 16:30:00,28.11,29.69,26.96,20.8,18.56,12.08,19.06,32.44,0.063,0.147,0.523
2021-05-17 17:00:00,27.85,31.01,27.02,21.16,18.72,12.0,19.15,32.12,0.062,0.147,0.521
