date,Ta_Avg（℃）,RH-Avg（%）,TC_10cm（℃）,TC_20cm（℃）,TC_30cm（℃）,OT,OT3,EC_10cm（us/cm）,EC_20cm（us/cm）,EC_30cm（us/cm）
2025-03-27 15:55:00,36.63,20.97,27.30,23.60,20.60,20.40,29.77,25.00,27.67,35.67
2025-03-27 16:00:00,36.57,23.10,27.23,23.60,20.60,20.40,29.88,26.33,24.00,35.00
2025-03-27 16:05:00,36.43,23.23,27.30,23.60,20.60,20.40,29.87,26.00,24.67,30.00
2025-03-27 16:10:00,36.43,21.93,27.30,23.60,20.60,20.40,29.63,28.00,27.00,34.33
2025-03-27 16:15:00,36.38,21.70,27.30,23.60,20.60,20.43,29.57,28.25,31.67,39.00
2025-03-27 16:20:00,36.30,21.80,27.30,23.60,20.60,20.37,29.57,25.67,29.00,44.33
2025-03-27 16:25:00,36.23,21.90,27.30,23.60,20.60,20.45,29.57,28.00,27.50,31.33
2025-03-27 16:30:00,36.20,22.13,27.30,23.60,20.60,20.43,29.60,26.67,25.75,33.33
2025-03-27 16:35:00,36.10,21.73,27.30,23.60,20.60,20.40,29.57,24.67,31.00,34.00
2025-03-27 16:40:00,35.83,20.27,27.30,23.60,20.60,20.40,29.50,27.67,26.00,37.33
2025-03-27 16:45:00,35.90,21.63,27.30,23.60,20.60,20.37,29.52,33.67,36.00,37.75
2025-03-27 16:50:00,36.00,20.93,27.30,23.60,20.60,20.37,29.53,29.00,27.33,33.67
2025-03-27 16:55:00,35.93,21.00,27.30,23.60,20.60,20.37,29.57,32.00,32.00,33.00
2025-03-27 17:00:00,35.85,20.62,27.30,23.70,20.60,20.40,29.50,25.50,25.33,31.00
2025-03-27 17:05:00,35.67,20.53,27.30,23.60,20.60,20.37,29.53,26.92,24.67,31.33
2025-03-27 17:10:00,35.53,21.07,27.30,23.63,20.60,20.40,29.50,28.33,29.33,35.00
2025-03-27 17:15:00,35.20,23.73,27.30,23.80,20.60,20.35,29.57,26.67,30.00,35.67
2025-03-27 17:20:00,34.70,26.60,27.30,23.83,20.60,20.27,29.47,29.50,23.00,30.33
2025-03-27 17:25:00,34.23,28.03,27.30,24.13,20.60,20.40,29.57,30.67,26.33,31.33
2025-03-27 17:30:00,33.80,29.53,27.30,24.20,20.60,20.33,29.60,25.67,33.67,33.67
2025-03-27 17:35:00,33.23,30.63,27.30,24.27,20.60,20.37,29.50,26.67,27.00,39.25
2025-03-27 17:40:00,32.90,31.13,27.30,24.43,20.60,20.37,29.57,27.00,30.00,33.00
2025-03-27 17:45:00,32.63,31.53,27.30,24.30,20.60,20.33,29.47,29.67,29.67,33.00
2025-03-27 17:50:00,32.40,31.98,27.30,24.57,20.60,20.30,29.53,26.33,25.00,37.67
2025-03-27 17:55:00,32.10,31.93,27.30,24.53,20.60,20.30,29.47,30.50,29.33,32.00
2025-03-27 18:00:00,31.80,32.00,27.30,24.60,20.60,20.30,29.50,30.00,27.67,35.00
2025-03-27 18:05:00,31.50,32.57,27.30,24.57,20.60,20.23,29.40,25.67,24.33,44.33
2025-03-27 18:10:00,31.30,32.80,27.30,24.55,20.60,20.23,29.50,26.00,24.50,32.67
2025-03-27 18:15:00,31.17,34.00,27.30,24.57,20.60,20.23,29.47,29.67,24.67,30.67
2025-03-27 18:20:00,30.97,34.57,27.30,24.60,20.60,20.27,29.50,29.33,28.67,33.67
2025-03-27 18:25:00,30.77,35.40,27.30,24.60,20.60,20.23,29.55,34.00,22.33,35.75
2025-03-27 18:30:00,30.57,36.30,27.30,24.60,20.60,20.23,29.47,26.00,25.33,33.67
2025-03-27 18:35:00,30.40,36.30,27.30,24.60,20.60,20.23,29.57,33.50,27.00,38.33
2025-03-27 18:40:00,30.05,37.62,27.30,24.55,20.60,20.25,29.43,33.33,27.50,31.00
2025-03-27 18:45:00,29.57,38.70,27.30,24.57,20.60,20.18,29.60,29.67,24.00,35.67
2025-03-27 18:50:00,29.10,40.07,27.30,24.60,20.60,20.20,29.50,26.33,30.00,36.33
2025-03-27 18:55:00,28.37,42.93,27.23,24.60,20.60,20.17,29.47,25.00,30.00,38.00
2025-03-27 19:00:00,27.60,44.23,27.30,24.60,20.60,20.20,29.50,26.62,27.00,34.33
2025-03-27 19:05:00,26.93,46.50,27.30,24.60,20.60,20.10,29.50,28.25,30.00,34.33
2025-03-27 19:10:00,26.40,48.17,27.27,24.60,20.60,20.20,29.50,33.00,28.00,33.00
2025-03-27 19:15:00,25.93,49.47,27.20,24.60,20.60,20.17,29.53,31.00,27.67,31.67
2025-03-27 19:20:00,25.47,51.20,27.10,24.60,20.60,20.20,29.48,24.67,29.67,32.33
2025-03-27 19:25:00,25.10,51.97,27.10,24.60,20.60,20.13,29.53,28.67,27.00,41.00
2025-03-27 19:30:00,24.80,52.87,26.80,24.60,20.60,20.20,29.50,28.33,28.33,34.67
2025-03-27 19:35:00,24.45,54.05,26.77,24.60,20.60,20.17,29.50,25.00,32.67,30.67
2025-03-27 19:40:00,24.10,55.50,26.40,24.60,20.60,20.17,29.50,30.50,26.33,42.33
2025-03-27 19:45:00,23.80,56.80,26.33,24.60,20.60,20.10,29.47,29.00,28.50,31.33
2025-03-27 19:50:00,23.57,57.57,26.30,24.60,20.60,20.12,29.53,27.00,26.33,33.33
2025-03-27 19:55:00,23.30,58.27,26.30,24.60,20.60,20.17,29.43,24.67,23.33,29.33
2025-03-27 20:00:00,23.10,59.40,26.30,24.60,20.60,20.10,29.50,34.33,24.00,31.33
2025-03-27 20:05:00,22.97,60.03,26.30,24.60,20.60,20.10,29.50,29.00,31.67,34.50
2025-03-27 20:10:00,22.70,60.90,26.30,24.60,20.60,20.17,29.50,24.75,27.33,31.33
2025-03-27 20:15:00,22.53,61.90,26.30,24.60,20.60,20.10,29.40,27.33,27.00,40.67
2025-03-27 20:20:00,22.32,61.92,26.30,24.60,20.60,20.13,29.50,27.00,30.67,29.67
2025-03-27 20:25:00,22.43,60.73,26.30,24.60,20.60,20.17,29.50,33.00,42.00,32.33
2025-03-27 20:30:00,22.80,59.37,26.30,24.60,20.60,20.13,29.40,25.33,25.75,56.00
2025-03-27 20:35:00,23.20,57.87,26.30,24.60,20.60,20.10,29.40,27.00,31.00,32.00
2025-03-27 20:40:00,23.50,57.37,26.30,24.60,20.60,20.10,29.53,29.00,23.00,30.00
2025-03-27 20:45:00,23.60,57.93,26.30,24.60,20.60,20.10,29.48,25.00,40.67,39.75
2025-03-27 20:50:00,23.57,58.97,26.30,24.60,20.60,20.13,29.50,31.33,35.00,40.00
2025-03-27 20:55:00,23.40,59.38,26.30,24.60,20.60,20.13,29.47,27.67,27.00,37.00
2025-03-27 21:00:00,23.17,60.77,26.30,24.60,20.60,20.15,29.50,25.75,22.75,31.67
2025-03-27 21:05:00,22.93,62.33,26.30,24.60,20.60,20.10,29.53,25.67,25.33,31.00
2025-03-27 21:10:00,22.70,63.00,26.23,24.60,20.60,20.13,29.50,29.33,24.50,32.00
2025-03-27 21:15:00,22.50,63.40,26.27,24.60,20.60,20.13,29.45,29.00,23.50,36.25
2025-03-27 21:20:00,22.30,64.80,26.12,24.60,20.60,20.13,29.53,28.50,26.00,32.67
2025-03-27 21:25:00,22.07,65.90,25.70,24.60,20.60,20.13,29.47,27.00,26.50,31.33
2025-03-27 21:30:00,21.93,66.53,25.57,24.60,20.60,20.10,29.40,25.67,27.50,30.33
2025-03-27 21:35:00,21.70,67.43,25.35,24.60,20.60,20.10,29.50,26.75,27.00,36.25
2025-03-27 21:40:00,21.50,68.10,25.30,24.60,20.60,20.10,29.37,28.67,29.33,35.33
2025-03-27 21:45:00,21.32,68.50,25.30,24.60,20.60,20.13,29.40,25.33,29.50,32.67
2025-03-27 21:50:00,21.20,69.17,25.30,24.60,20.60,20.10,29.50,26.67,26.75,30.33
2025-03-27 21:55:00,21.10,69.70,25.30,24.60,20.60,20.10,29.48,32.33,24.67,32.25
2025-03-27 22:00:00,21.12,69.65,25.30,24.60,20.60,20.10,29.40,30.00,27.50,28.33
2025-03-27 22:05:00,21.30,68.43,25.30,24.60,20.60,20.10,29.40,27.00,24.00,34.67
2025-03-27 22:10:00,21.80,66.37,25.30,24.57,20.60,20.10,29.43,29.33,36.50,31.67
2025-03-27 22:15:00,22.43,64.17,25.30,24.60,20.60,20.10,29.40,29.67,31.00,36.00
2025-03-27 22:20:00,22.95,61.85,25.30,24.60,20.60,20.10,29.43,26.00,35.00,36.33
2025-03-27 22:25:00,23.17,60.63,25.30,24.60,20.60,20.10,29.50,29.00,27.25,34.67
2025-03-27 22:30:00,23.17,60.17,25.30,24.60,20.60,20.13,29.45,27.25,26.00,31.50
2025-03-27 22:35:00,23.05,60.05,25.30,24.60,20.60,20.10,29.33,29.33,29.00,32.33
2025-03-27 22:40:00,22.93,59.77,25.30,24.60,20.60,20.07,29.43,25.67,25.50,35.67
2025-03-27 22:45:00,22.87,59.70,25.30,24.60,20.60,20.10,29.48,27.00,28.00,37.25
2025-03-27 22:50:00,22.75,59.25,25.30,24.60,20.60,20.10,29.43,27.33,25.00,32.67
2025-03-27 22:55:00,22.63,58.93,25.30,24.60,20.60,20.10,29.43,27.75,30.33,34.00
2025-03-27 23:00:00,22.53,58.80,25.30,24.60,20.60,20.10,29.48,25.67,26.33,34.00
2025-03-27 23:05:00,22.38,58.50,25.30,24.60,20.60,20.10,29.47,24.00,26.00,31.00
2025-03-27 23:10:00,22.23,58.30,25.27,24.60,20.60,20.10,29.43,28.25,29.33,30.67
2025-03-27 23:15:00,22.13,58.07,25.20,24.57,20.60,20.10,29.43,25.67,27.33,31.50
2025-03-27 23:20:00,22.15,55.40,25.25,24.57,20.60,20.10,29.50,32.75,29.50,33.00
2025-03-27 23:25:00,22.23,54.67,25.17,24.55,20.60,20.07,29.43,30.33,31.33,31.33
2025-03-27 23:30:00,22.23,55.30,25.00,24.50,20.60,20.10,29.50,26.33,26.00,32.50
2025-03-27 23:35:00,22.20,54.65,24.82,24.45,20.60,20.10,29.27,26.75,27.50,30.33
2025-03-27 23:40:00,22.13,53.20,24.57,24.40,20.60,20.10,29.50,29.67,31.00,39.67
2025-03-27 23:45:00,21.97,52.73,24.35,24.38,20.60,20.10,29.43,25.50,32.00,31.50
2025-03-27 23:50:00,21.82,52.17,24.30,24.27,20.60,20.10,29.33,26.67,30.50,33.33
2025-03-27 23:55:00,21.67,51.83,24.30,24.18,20.60,20.07,29.37,28.00,24.50,33.67
2025-03-28 00:00:00,21.60,52.00,24.30,24.00,20.60,20.03,29.50,26.67,27.00,32.50
2025-03-28 00:05:00,21.48,51.67,24.30,23.77,20.60,20.10,29.30,24.50,29.50,32.33
2025-03-28 00:10:00,21.33,50.23,24.30,23.73,20.60,20.05,29.47,28.00,27.25,33.00
2025-03-28 00:15:00,21.23,50.97,24.30,23.63,20.60,20.10,29.38,25.00,27.33,35.50
2025-03-28 00:20:00,21.05,51.08,24.30,23.63,20.60,20.07,29.43,29.00,25.50,30.67
2025-03-28 00:25:00,20.87,50.33,24.30,23.60,20.60,20.07,29.50,28.00,28.25,34.33
2025-03-28 00:30:00,20.77,51.43,24.30,23.60,20.60,20.13,29.43,28.25,28.33,36.25
2025-03-28 00:35:00,20.60,51.10,24.30,23.60,20.60,20.07,29.47,24.67,25.50,30.67
2025-03-28 00:40:00,20.50,51.60,24.30,23.60,20.60,20.07,29.43,27.67,26.67,32.00
2025-03-28 00:45:00,20.37,52.27,24.30,23.60,20.60,20.10,29.40,36.67,27.00,33.75
2025-03-28 00:50:00,20.25,52.10,24.30,23.60,20.60,20.03,29.47,25.00,29.67,32.67
2025-03-28 00:55:00,20.17,52.40,24.30,23.60,20.60,20.10,29.40,24.75,28.00,34.00
2025-03-28 01:00:00,20.03,52.27,24.30,23.60,20.60,20.10,29.40,25.67,24.67,34.50
2025-03-28 01:05:00,19.85,51.92,24.30,23.60,20.60,20.10,29.47,26.75,28.00,33.67
2025-03-28 01:10:00,19.73,52.03,24.30,23.60,20.60,20.07,29.50,22.33,29.75,30.33
2025-03-28 01:15:00,19.63,52.10,24.27,23.60,20.60,20.05,29.32,25.33,27.00,34.50
2025-03-28 01:20:00,19.50,51.75,24.20,23.60,20.60,20.00,29.47,28.25,38.00,38.67
2025-03-28 01:25:00,19.30,51.30,24.17,23.60,20.60,20.02,29.40,25.33,25.75,29.50
2025-03-28 01:30:00,19.13,52.43,23.98,23.60,20.60,20.03,29.43,24.75,29.00,32.25
2025-03-28 01:35:00,18.93,52.95,23.77,23.60,20.60,20.05,29.37,28.33,26.00,35.67
2025-03-28 01:40:00,18.80,53.00,23.52,23.60,20.60,19.98,29.40,23.50,27.33,33.50
2025-03-28 01:45:00,18.75,53.27,23.37,23.60,20.60,19.73,29.40,24.00,25.50,36.33
2025-03-28 01:50:00,18.70,53.37,23.35,23.60,20.60,19.80,29.40,26.75,25.00,33.00
2025-03-28 01:55:00,18.70,53.27,23.30,23.60,20.60,19.87,29.43,27.33,27.67,42.00
2025-03-28 02:00:00,18.62,53.92,23.30,23.60,20.60,19.75,29.37,28.25,29.50,40.67
2025-03-28 02:05:00,18.60,54.03,23.30,23.60,20.60,19.77,29.53,26.00,35.67,32.33
2025-03-28 02:10:00,18.53,53.03,23.30,23.60,20.60,19.87,29.35,34.33,39.33,42.00
2025-03-28 02:15:00,18.43,53.02,23.30,23.60,20.60,19.77,29.37,26.00,29.67,36.00
2025-03-28 02:20:00,18.30,52.83,23.30,23.60,20.60,19.77,29.40,26.67,25.50,36.00
2025-03-28 02:25:00,18.20,53.50,23.30,23.60,20.60,19.77,29.38,29.75,30.00,30.00
2025-03-28 02:30:00,18.20,54.52,23.30,23.60,20.60,19.90,29.33,26.67,37.75,41.33
2025-03-28 02:35:00,18.10,54.47,23.30,23.60,20.60,19.83,29.40,26.75,26.33,32.75
2025-03-28 02:40:00,18.05,53.77,23.30,23.60,20.60,19.77,29.40,20.00,30.00,36.33
2025-03-28 02:45:00,18.00,54.67,23.30,23.60,20.60,19.80,29.40,26.00,26.00,32.00
2025-03-28 02:50:00,17.90,53.70,23.30,23.60,20.60,19.80,29.55,29.00,38.50,33.25
2025-03-28 02:55:00,17.82,54.95,23.30,23.60,20.60,19.77,29.30,27.00,26.67,40.67
2025-03-28 03:00:00,17.80,55.17,23.30,23.60,20.60,19.77,29.40,23.33,20.50,33.67
2025-03-28 03:05:00,17.73,54.50,23.30,23.60,20.60,19.80,29.40,28.25,25.67,33.75
2025-03-28 03:10:00,17.57,53.73,23.30,23.60,20.60,19.77,29.40,28.67,30.00,33.67
2025-03-28 03:15:00,17.47,53.40,23.30,23.60,20.60,19.83,29.40,24.67,31.00,30.75
2025-03-28 03:20:00,17.35,53.35,23.30,23.60,20.60,19.80,29.53,26.00,26.50,33.00
2025-03-28 03:25:00,17.30,53.40,23.23,23.60,20.60,19.75,29.43,27.00,26.00,31.33
2025-03-28 03:30:00,17.20,53.13,23.23,23.60,20.60,19.70,29.35,30.00,26.67,31.00
2025-03-28 03:35:00,17.12,52.75,23.17,23.60,20.60,19.73,29.43,28.00,27.00,32.00
2025-03-28 03:40:00,17.03,51.90,23.12,23.60,20.60,19.77,29.33,30.00,27.00,30.00
2025-03-28 03:45:00,16.80,53.08,22.80,23.60,20.60,19.70,29.27,33.50,26.50,33.67
2025-03-28 03:50:00,16.63,55.47,22.68,23.60,20.60,19.77,29.43,27.00,22.75,30.33
2025-03-28 03:55:00,16.60,54.03,22.60,23.60,20.60,19.77,29.35,27.33,33.67,33.50
2025-03-28 04:00:00,16.55,53.83,22.43,23.60,20.60,19.67,29.27,28.00,26.00,32.33
2025-03-28 04:05:00,16.40,55.80,22.37,23.60,20.60,19.77,29.40,25.67,32.00,35.67
2025-03-28 04:10:00,16.20,57.17,22.30,23.60,20.60,19.77,29.38,25.75,27.67,30.75
2025-03-28 04:15:00,15.93,57.58,22.30,23.60,20.60,19.77,29.40,26.33,26.33,33.00
2025-03-28 04:20:00,15.70,58.73,22.30,23.60,20.60,19.73,29.40,27.67,29.33,31.67
2025-03-28 04:25:00,15.55,56.85,22.30,23.50,20.60,19.70,29.38,25.50,24.33,39.50
2025-03-28 04:30:00,15.43,55.10,22.30,23.57,20.60,19.73,29.30,24.50,26.50,28.67
2025-03-28 04:35:00,15.30,54.73,22.30,23.50,20.60,19.70,29.30,31.50,31.00,33.75
2025-03-28 04:40:00,15.20,57.25,22.30,23.52,20.60,19.75,29.37,24.50,28.50,36.33
2025-03-28 04:45:00,15.07,59.47,22.30,23.43,20.60,19.77,29.47,28.00,28.50,37.00
2025-03-28 04:50:00,14.80,62.73,22.30,23.33,20.60,19.77,29.50,25.00,27.33,31.67
2025-03-28 04:55:00,14.30,68.07,22.30,23.23,20.60,19.70,29.40,25.75,27.50,34.00
2025-03-28 05:00:00,13.50,72.93,22.30,23.10,20.60,19.73,29.40,24.67,27.00,30.00
2025-03-28 05:05:00,13.03,75.30,22.30,23.00,20.60,19.83,29.37,26.25,27.67,30.00
2025-03-28 05:10:00,12.92,76.99,22.30,22.88,20.60,19.80,29.36,25.61,27.00,30.67
2025-03-28 05:15:00,12.81,78.68,22.30,22.76,20.60,19.77,29.36,24.97,26.33,31.33
2025-03-28 05:20:00,12.70,80.37,22.30,22.63,20.60,19.73,29.35,24.33,25.67,32.00
2025-03-28 05:25:00,12.77,80.47,22.30,22.60,20.60,19.68,29.43,24.67,26.00,33.00
2025-03-28 05:30:00,12.85,80.90,22.30,22.60,20.60,19.70,29.45,24.75,23.00,32.25
2025-03-28 05:35:00,12.93,80.87,22.30,22.60,20.60,19.73,29.43,24.67,27.67,34.33
2025-03-28 05:40:00,12.93,79.90,22.30,22.60,20.60,19.75,29.45,30.75,32.25,34.00
2025-03-28 05:45:00,12.82,80.10,22.30,22.60,20.60,19.70,29.37,26.00,24.33,31.00
2025-03-28 05:50:00,12.80,80.63,22.27,22.60,20.60,19.68,29.47,26.00,27.00,36.00
2025-03-28 05:55:00,12.80,79.80,22.27,22.60,20.60,19.75,29.45,25.67,24.00,41.00
2025-03-28 06:00:00,12.72,79.05,22.27,22.60,20.60,19.73,29.33,23.75,22.67,33.67
2025-03-28 06:05:00,12.70,79.57,22.20,22.60,20.60,19.60,29.37,27.00,24.00,35.00
2025-03-28 06:10:00,12.70,79.37,22.13,22.60,20.60,19.67,29.50,25.00,26.00,30.25
2025-03-28 06:15:00,12.68,79.03,22.05,22.60,20.60,19.67,29.50,25.75,30.67,36.00
2025-03-28 06:20:00,12.53,79.03,21.73,22.60,20.60,19.75,29.23,24.33,30.75,38.00
2025-03-28 06:25:00,12.40,79.40,21.48,22.60,20.60,19.65,29.43,25.75,28.00,36.50
2025-03-28 06:30:00,12.35,79.47,21.37,22.60,20.60,19.70,29.47,27.33,25.50,37.33
2025-03-28 06:35:00,12.23,78.70,21.33,22.60,20.60,19.60,29.43,26.00,25.50,36.33
2025-03-28 06:40:00,12.13,78.47,21.30,22.60,20.60,19.63,29.43,31.00,27.67,31.25
2025-03-28 06:45:00,12.03,78.30,21.30,22.60,20.60,19.63,29.30,25.00,26.33,30.00
2025-03-28 06:50:00,11.87,77.70,21.30,22.60,20.60,19.68,29.37,30.25,26.00,34.33
2025-03-28 06:55:00,11.73,78.07,21.30,22.60,20.60,19.63,29.27,27.00,29.00,43.25
2025-03-28 07:00:00,11.65,77.30,21.30,22.60,20.60,19.63,29.43,43.33,26.67,39.33
2025-03-28 07:05:00,11.60,77.43,21.30,22.60,20.60,19.65,29.33,25.33,30.33,35.67
2025-03-28 07:10:00,11.50,77.43,21.30,22.60,20.60,19.60,29.45,27.67,26.67,36.75
2025-03-28 07:15:00,11.45,77.53,21.30,22.60,20.60,19.63,29.40,26.50,26.67,32.00
2025-03-28 07:20:00,11.33,77.70,21.30,22.60,20.60,19.65,29.47,25.33,30.00,32.33
2025-03-28 07:25:00,11.23,76.97,21.30,22.60,20.60,19.60,29.38,28.67,22.00,29.75
2025-03-28 07:30:00,11.10,77.22,21.30,22.60,20.60,19.63,29.37,26.00,24.67,31.00
2025-03-28 07:35:00,11.07,76.57,21.30,22.60,20.60,19.62,29.40,24.00,25.33,33.00
2025-03-28 07:40:00,11.00,76.83,21.30,22.60,20.60,19.70,29.43,25.67,23.33,33.67
2025-03-28 07:45:00,11.00,76.80,21.23,22.60,20.60,19.60,29.43,23.75,27.50,34.50
2025-03-28 07:50:00,11.00,76.60,21.23,22.60,20.60,19.60,29.40,25.00,25.67,31.67
2025-03-28 07:55:00,10.93,76.07,21.17,22.60,20.60,19.62,29.43,28.33,25.75,35.67
2025-03-28 08:00:00,10.83,75.33,20.95,22.60,20.60,19.63,29.50,24.00,28.00,36.00
2025-03-28 08:05:00,10.70,75.37,20.67,22.60,20.60,19.60,29.43,25.33,27.50,35.67
2025-03-28 08:10:00,10.70,75.80,20.63,22.60,20.60,19.50,29.33,29.33,27.00,36.67
2025-03-28 08:15:00,10.80,75.37,20.35,22.60,20.60,19.57,29.37,27.75,37.00,31.33
2025-03-28 08:20:00,10.80,75.17,20.30,22.60,20.60,19.60,29.35,25.67,25.00,33.25
2025-03-28 08:25:00,10.87,75.17,20.30,22.60,20.60,19.63,29.35,29.00,27.00,40.00
2025-03-28 08:30:00,10.90,74.40,20.30,22.60,20.60,19.67,29.38,27.50,23.00,41.00
2025-03-28 08:35:00,10.90,73.87,20.30,22.60,20.60,19.65,29.43,25.00,29.25,34.33
2025-03-28 08:40:00,10.87,74.07,20.30,22.60,20.60,19.60,29.47,32.33,40.67,36.00
2025-03-28 08:45:00,10.90,72.80,20.30,22.60,20.60,19.60,29.40,28.00,25.00,35.25
